Spanish,English
iba,I was going
supongo,i guess
nueva,new
entiendo,I get it
dentro,within
casi,almost
puerta,gate
ves,you see
pasar,happen
primero,first
significa,it means
semana,week
hacia,toward
quizas,maybe
espero,wait
juntos,together
a(ny)o,year
ni(ny)os,children
pronto,early
tio,uncle
suerte,luck
ciudad,town
siquiera,even
feliz,happy
venir,to come
hija,daughter
gustaria,would like
minutos,minutes
cuanto,how much
os,you
hey,Hey
muerte,death
dejar,let
realidad,reality
deja,leaves
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,chief
agua,Water
hare,I will do
justo,just
horas,hours
poder,can
buenos,good ones
esposa,wife
manos,hands
debes,you must
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,forward
encontrar,meet
mano,hand
cinco,five
ni(ny)o,kid
ninguna,none
otros,others
cara,face
cuidado,care
bajo,under
cerca,close
viejo,old
dejame,let me
noches,nights
bastante,pretty
fin,End
tomar,drink
unico,unique
misma,same
escucha,listens
ningun,none
suficiente,enough
punto,point
cuando,when
sigue,go on
haya,is
equipo,team
grande,great
necesita,needs to
llegar,to get
incluso,even
algunos,Some
doctor,doctor
dificil,hard
aunque,even though
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
mas,more
dices,You say
peque(ny)o,little
llama,call
toma,taking
hiciste,did
alla,there
ultima,last
arriba,above
tierra,Earth
guerra,war
pensar,think
pueda,I can
igual,same
loco,crazy
sangre,blood
mujeres,women
vuelta,return
fui,I was
trabajar,to work
tenido,Dyed
juego,match
deberias,you should
cuerpo,Body
e,and
algunas,some
entrar,get in
cree,Believe
podia,could
debemos,we must
oportunidad,chance
telefono,phone
necesitamos,we need
final,final
listo,clever
fiesta,party
muchos,Many
estabas,You were
quieren,They want
vete,go away
auto,auto
dar,give
vivir,to live
posible,possible
ok,okay
hermana,sister
numero,number
meses,months
exactamente,exactly
culpa,fault
abajo,bottom
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
este,East
ello,it
pregunta,Question
chicas,girls
eran,they were
unas,nail
pasando,going
atras,behind
malo,bad
capitan,captain
sra.,mrs
bebe,baby
segundo,second
sabemos,we know
mayor,elderly
comida,food
morir,To die
conozco,know
dame,give to me
facil,easy
comer,eat
vino,wine
lista,ready
haga,make
necesitas,you need
hijos,children
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
